hours,dow,scaled_freq
0,Mon,0.254366203
0,Tue,0.25216419
0,Wed,0.260494484
0,Thu,0.271903237
0,Fri,0.298419868
0,Sat,0.387193822
0,Sun,0.389791311
1,Mon,0.143055669
1,Tue,0.137579205
1,Wed,0.145244271
1,Thu,0.151888027
1,Fri,0.174246076
1,Sat,0.245234479
1,Sun,0.261307928
2,Mon,0.066796015
2,Tue,0.063398632
2,Wed,0.069401886
2,Thu,0.072916473
2,Fri,0.089972956
2,Sat,0.140741621
2,Sun,0.151429129
3,Mon,0.020073756
3,Tue,0.018708656
3,Wed,0.022962091
3,Thu,0.025926559
3,Fri,0.037623922
3,Sat,0.070748406
3,Sun,0.076838551
4,Mon,7.17E-05
4,Tue,0
4,Wed,0.003083209
4,Thu,0.005311903
4,Fri,0.013398848
4,Sat,0.031512264
4,Sun,0.030942588
5,Mon,0.024444255
5,Tue,0.030508556
5,Wed,0.032305872
5,Thu,0.033969081
5,Fri,0.039252347
5,Sat,0.024897146
5,Sun,0.012684727
6,Mon,0.146019998
6,Tue,0.171565888
6,Wed,0.172075355
6,Thu,0.173620522
6,Fri,0.176008469
6,Sat,0.068345652
6,Sun,0.030988687
7,Mon,0.322390137
7,Tue,0.372859017
7,Wed,0.376335188
7,Thu,0.37974654
7,Fri,0.383191
7,Sat,0.182864002
7,Sun,0.101652997
8,Mon,0.407194797
8,Tue,0.458025905
8,Wed,0.467987278
8,Thu,0.473175691
8,Fri,0.488252975
8,Sat,0.365298442
8,Sun,0.242081003
9,Mon,0.495462496
9,Tue,0.535055279
9,Wed,0.550409439
9,Thu,0.562254041
9,Fri,0.595549931
9,Sat,0.594446061
9,Sun,0.443148944
10,Mon,0.625558099
10,Tue,0.651367593
10,Wed,0.667879406
10,Thu,0.684694636
10,Fri,0.735063494
10,Sat,0.819400594
10,Sun,0.660879847
11,Mon,0.711615404
11,Tue,0.721587394
11,Wed,0.740207064
11,Thu,0.758022371
11,Fri,0.812189537
11,Sat,0.975351511
11,Sun,0.831318954
12,Mon,0.68804131
12,Tue,0.686965658
12,Wed,0.705760785
12,Thu,0.72263818
12,Fri,0.77861258
12,Sat,1
12,Sun,0.884592072
13,Mon,0.683611301
13,Tue,0.685128948
13,Wed,0.709274674
13,Thu,0.719939412
13,Fri,0.785507088
13,Sat,0.961171348
13,Sun,0.855715154
14,Mon,0.735166169
14,Tue,0.741327139
14,Wed,0.767127693
14,Thu,0.775901937
14,Fri,0.849773645
14,Sat,0.925747623
14,Sun,0.822935576
15,Mon,0.788438169
15,Tue,0.798836927
15,Wed,0.824759714
15,Thu,0.833530885
15,Fri,0.90029966
15,Sat,0.897049934
15,Sun,0.796581272
16,Mon,0.833088611
16,Tue,0.850174849
16,Wed,0.870195242
16,Thu,0.881238553
16,Fri,0.938209537
16,Sat,0.888439133
16,Sun,0.786828324
17,Mon,0.855828307
17,Tue,0.87286188
17,Wed,0.887390862
17,Thu,0.899023965
17,Fri,0.944687615
17,Sat,0.889877293
17,Sun,0.782706063
18,Mon,0.841914403
18,Tue,0.857289936
18,Wed,0.866608153
18,Thu,0.879694085
18,Fri,0.914287043
18,Sat,0.880416867
18,Sun,0.76533806
19,Mon,0.809841263
19,Tue,0.824090296
19,Wed,0.825511832
19,Thu,0.844237392
19,Fri,0.872669241
19,Sat,0.847854375
19,Sun,0.738073502
20,Mon,0.75619963
20,Tue,0.768716305
20,Wed,0.768514166
20,Thu,0.788286321
20,Fri,0.805050981
20,Sat,0.790991515
20,Sun,0.687823106
21,Mon,0.673980865
21,Tue,0.686065882
21,Wed,0.689302197
21,Thu,0.709845189
21,Fri,0.740150209
21,Sat,0.734001672
21,Sun,0.613020051
22,Mon,0.554865152
22,Tue,0.567154123
22,Wed,0.573530223
22,Thu,0.593656225
22,Fri,0.660199951
22,Sat,0.666334379
22,Sun,0.51687495
23,Mon,0.40309377
23,Tue,0.415913582
23,Wed,0.42437058
23,Thu,0.445657308
23,Fri,0.538728979
23,Sat,0.563637161
23,Sun,0.389607891
