doy,Hemisphere,within_variation,sd,se,ci
1,Northern,0.871781344,0.97708189,0.002990466,0.005861272
1,Southern,1.080928617,0.885950034,0.006158969,0.012072063
2,Northern,0.833913235,0.971452396,0.002849128,0.005584246
2,Southern,1.035784902,0.879980894,0.005863023,0.01149193
3,Northern,0.794232614,0.996231323,0.002945355,0.005772851
3,Southern,0.99485664,0.88771354,0.006004373,0.011769006
4,Northern,0.798871842,0.982591616,0.002753243,0.005396309
4,Southern,0.97434565,0.893937948,0.005600803,0.010977893
5,Northern,0.802045947,0.980831706,0.002698373,0.005288763
5,Southern,0.977943412,0.878591793,0.005392062,0.010568729
6,Northern,0.803990813,0.982912354,0.002697541,0.005287132
6,Southern,0.991322324,0.880621683,0.005355724,0.010497495
7,Northern,0.814503789,0.971233916,0.002637159,0.005168783
7,Southern,0.984206945,0.884145868,0.005348842,0.010484001
8,Northern,0.842471028,0.954593233,0.00256111,0.005019726
8,Southern,1.009328645,0.858036501,0.005102481,0.010001108
9,Northern,0.854587658,0.946484773,0.002604512,0.005104796
9,Southern,1.043304002,0.843991309,0.005243902,0.010278339
10,Northern,0.798036862,0.992006874,0.002815896,0.005519108
10,Southern,0.988333881,0.890619902,0.005809516,0.011387029
11,Northern,0.813592836,0.977569552,0.002624407,0.005143788
11,Southern,0.974861426,0.878232263,0.005335472,0.0104578
12,Northern,0.816475528,0.970398567,0.002583901,0.005064397
12,Southern,0.979293247,0.882751758,0.005301263,0.010390737
13,Northern,0.80583822,0.97110649,0.002579575,0.005055918
13,Southern,0.976213755,0.879453094,0.005249648,0.010289564
14,Northern,0.814406629,0.969674286,0.002565617,0.00502856
14,Southern,0.978607546,0.894034703,0.005307456,0.010402867
15,Northern,0.844105728,0.941236832,0.002463178,0.004827779
15,Southern,1.006416517,0.871624581,0.00507643,0.009950028
16,Northern,0.853295554,0.935253917,0.002535429,0.004969395
16,Southern,1.032148189,0.863963095,0.005256063,0.010302156
17,Northern,0.802775457,0.97872353,0.002752146,0.005394158
17,Southern,0.999536757,0.893069367,0.005691111,0.011154921
18,Northern,0.798183944,0.97262158,0.002618684,0.005132571
18,Southern,0.962644602,0.895461119,0.005345965,0.010478351
19,Northern,0.804610471,0.96722667,0.002563038,0.005023504
19,Southern,0.973881378,0.877026776,0.005160678,0.010115166
20,Northern,0.809343504,0.964910816,0.002544929,0.004988011
20,Southern,0.97039225,0.891821225,0.00525602,0.010302042
21,Northern,0.823880339,0.956823183,0.0025121,0.004923666
21,Southern,0.982562969,0.881923659,0.005152517,0.010099165
22,Northern,0.847937975,0.939854636,0.002453452,0.004808717
22,Southern,1.018355669,0.865750956,0.004990023,0.009780658
23,Northern,0.846840061,0.936630068,0.002526234,0.004951372
23,Southern,1.035184331,0.844825193,0.005069296,0.00993607
24,Northern,0.801530002,0.979676756,0.002733054,0.005356737
24,Southern,1.002977592,0.880920119,0.005584062,0.010945093
25,Northern,0.800057785,0.971067047,0.002574815,0.005046587
25,Southern,0.974467505,0.880965399,0.00522233,0.010236014
26,Northern,0.806940792,0.962086844,0.002515296,0.004929931
26,Southern,0.979072564,0.886805549,0.005196404,0.010185188
