hours,age_group,within_variation,sd,se,ci
0,10-19,1.06970308,0.762848138,0.000991358,0.001943031
0,20-29,0.845554482,0.914396853,0.000918411,0.001800055
0,30-39,0.670783305,1.027456063,0.001486913,0.002914304
0,40-49,0.608362231,1.027296763,0.002430412,0.004763551
0,Over 50,0.379494316,0.966887836,0.00132289,0.002592823
1,10-19,1.041884004,0.823198924,0.001228235,0.002407303
1,20-29,0.803562315,0.98752536,0.001118119,0.002191477
1,30-39,0.630160146,1.094311566,0.00182279,0.003572614
1,40-49,0.576985707,1.083347239,0.002988138,0.005856696
1,Over 50,0.34444609,1.01729725,0.001614815,0.003164988
2,10-19,1.018083527,0.877772804,0.001509491,0.002958559
2,20-29,0.765986904,1.04852487,0.001344627,0.002635426
2,30-39,0.597718275,1.147374644,0.002187524,0.004287487
2,40-49,0.541594945,1.134972496,0.003627258,0.007109383
2,Over 50,0.316858966,1.060165088,0.001930969,0.003784644
3,10-19,0.998813161,0.922028979,0.001807049,0.003541768
3,20-29,0.736769277,1.096855782,0.001576479,0.00308985
3,30-39,0.571164637,1.177036104,0.002509461,0.00491848
3,40-49,0.522502231,1.166847612,0.004174775,0.008182534
3,Over 50,0.294255393,1.09214442,0.002219989,0.004351121
4,10-19,0.993561232,0.947983802,0.002039755,0.003997869
4,20-29,0.735214273,1.106127383,0.001707399,0.003346451
4,30-39,0.574763158,1.181129975,0.002660621,0.005214753
4,40-49,0.535481198,1.16702027,0.004384012,0.008592652
4,Over 50,0.290283795,1.105611048,0.002381328,0.004667344
5,10-19,1.042395373,0.89564001,0.001849596,0.00362516
5,20-29,0.799047548,1.040975468,0.00154078,0.003019881
5,30-39,0.65533289,1.105838862,0.002314661,0.004536676
5,40-49,0.606595712,1.096400841,0.003767411,0.007384096
5,Over 50,0.339160432,1.071346233,0.00218161,0.004275899
6,10-19,1.117320599,0.773306186,0.001270149,0.002489455
6,20-29,0.896587767,0.912471489,0.001141032,0.002236385
6,30-39,0.764686735,0.97569112,0.001655922,0.00324556
6,40-49,0.701113837,0.980242785,0.002664412,0.005222197
6,Over 50,0.418856985,0.975072744,0.001612228,0.003159919
7,10-19,1.156156819,0.693910501,0.00095999,0.001881549
7,20-29,0.954761017,0.813857516,0.00086001,0.001685591
7,30-39,0.827012284,0.871623384,0.001201155,0.002354227
7,40-49,0.753361491,0.893381951,0.001936642,0.00379577
7,Over 50,0.470555563,0.908413086,0.001234933,0.00242043
8,10-19,1.169794498,0.694270239,0.000918592,0.001800411
8,20-29,0.978208346,0.764955871,0.000729792,0.001430369
8,30-39,0.847984566,0.816252739,0.000991835,0.001943964
8,40-49,0.764303072,0.854328944,0.001634948,0.003204454
8,Over 50,0.481198916,0.89107765,0.001073292,0.002103618
9,10-19,1.177883647,0.672262941,0.00082582,0.00161858
9,20-29,0.983443714,0.733238571,0.000655393,0.001284547
9,30-39,0.847276686,0.783874836,0.000889771,0.001743922
9,40-49,0.763674056,0.818610293,0.001464508,0.002870394
9,Over 50,0.486287228,0.853020955,0.00093682,0.001836135
10,10-19,1.18352789,0.640628895,0.000730719,0.001432186
10,20-29,0.984385647,0.7045051,0.000601737,0.001179384
10,30-39,0.844871849,0.756175701,0.000825926,0.001618788
10,40-49,0.767432001,0.785217862,0.001349981,0.002645923
10,Over 50,0.495555872,0.812255649,0.000841775,0.001649851
11,10-19,1.188342543,0.614403177,0.000668217,0.001309683
11,20-29,0.988751001,0.684772275,0.000569404,0.001116012
11,30-39,0.84780139,0.740476112,0.000793351,0.001554941
11,40-49,0.772927472,0.767917924,0.001294336,0.002536862
11,Over 50,0.503732953,0.78612441,0.00079065,0.001549648
12,10-19,1.190642273,0.602939144,0.000639926,0.001254233
12,20-29,0.99304212,0.683226519,0.000564065,0.001105549
12,30-39,0.851674073,0.745375298,0.000798446,0.001564928
12,40-49,0.776259697,0.768583822,0.001289695,0.002527765
12,Over 50,0.509919327,0.779744225,0.000776997,0.001522889
13,10-19,1.190747233,0.597810571,0.000625357,0.00122568
13,20-29,0.991411471,0.685220625,0.000563997,0.001105415
13,30-39,0.849462455,0.749372938,0.000805445,0.001578646
13,40-49,0.779351066,0.770571332,0.001297082,0.002542242
13,Over 50,0.512785278,0.779374936,0.000776172,0.001521271
14,10-19,1.187700766,0.590940119,0.000611191,0.001197914
14,20-29,0.989005738,0.67958514,0.000557492,0.001092666
14,30-39,0.846320527,0.744726578,0.000799906,0.00156779
14,40-49,0.77811673,0.771227148,0.001299741,0.002547454
14,Over 50,0.51017075,0.776193836,0.000770711,0.001510568
15,10-19,1.186638305,0.582478534,0.000593428,0.0011631
15,20-29,0.988681534,0.67703954,0.000553381,0.001084609
15,30-39,0.849089917,0.740446404,0.000792885,0.001554028
