hours,chronotype,within_variation,sd,se,ci
0,Afternoon,0.716367898,0.993691005,0.000964233,0.001889864
0,Evening,0.790816161,0.857638115,0.000785973,0.001540481
0,Morning,0.634893682,1.062417344,0.002036535,0.003991552
0,Night Owl,0.596957145,0.731553498,0.001465365,0.002872077
1,Afternoon,0.674485241,1.065400242,0.001199924,0.002351812
1,Evening,0.759757058,0.937382883,0.001001223,0.001962363
1,Morning,0.590838367,1.133839272,0.002531939,0.004962538
1,Night Owl,0.547446454,0.740363604,0.001472495,0.002886052
2,Afternoon,0.638185428,1.129326475,0.001477158,0.002895182
2,Evening,0.730265071,1.010675608,0.001266623,0.002482541
2,Morning,0.561679929,1.173484628,0.002964215,0.005809799
2,Night Owl,0.511315307,0.771362001,0.001564967,0.003067294
3,Afternoon,0.60657186,1.179833925,0.001761867,0.003453205
3,Evening,0.703817473,1.067205784,0.001550003,0.003037957
3,Morning,0.561159609,1.175703604,0.0031735,0.006220001
3,Night Owl,0.486556535,0.817081228,0.001722566,0.003376186
4,Afternoon,0.60964076,1.187440985,0.001915499,0.003754321
4,Evening,0.690850183,1.102005364,0.001779909,0.003488569
4,Morning,0.602801264,1.127657684,0.002938832,0.005760051
4,Night Owl,0.473187535,0.852918503,0.001886166,0.00369684
5,Afternoon,0.677581828,1.112936318,0.001693479,0.003319166
5,Evening,0.743171797,1.058945696,0.001682293,0.003297244
5,Morning,0.715113077,0.974331713,0.00202326,0.003965538
5,Night Owl,0.483246985,0.872290406,0.002027185,0.003973235
6,Afternoon,0.778645773,0.969451772,0.001166678,0.002286651
6,Evening,0.836158457,0.935723546,0.001231355,0.002413416
6,Morning,0.798270627,0.801049166,0.001233395,0.002417417
6,Night Owl,0.525685946,0.897216707,0.002183119,0.004278865
7,Afternoon,0.835854509,0.867496177,0.000827855,0.001622569
7,Evening,0.889101285,0.853692412,0.000937919,0.001838289
7,Morning,0.828981673,0.698915805,0.000892975,0.001750202
7,Night Owl,0.60714137,0.907662018,0.002271129,0.004451365
8,Afternoon,0.851386045,0.82129229,0.000680342,0.001333447
8,Evening,0.907972116,0.838433501,0.000846526,0.001659163
8,Morning,0.834918167,0.658804391,0.000777583,0.001524038
8,Night Owl,0.680285884,0.927740372,0.002365215,0.004635773
9,Afternoon,0.851542109,0.769060921,0.00057369,0.001124413
9,Evening,0.913736669,0.816340626,0.000769162,0.001507532
9,Morning,0.834911786,0.646350738,0.000744161,0.001458532
9,Night Owl,0.738968334,0.927763389,0.002359507,0.004624585
10,Afternoon,0.852665043,0.713662643,0.000497694,0.000975464
10,Evening,0.91780106,0.788956065,0.00069872,0.001369468
10,Morning,0.83460275,0.651281574,0.000748764,0.001467553
10,Night Owl,0.785659655,0.91741997,0.002294755,0.004497671
11,Afternoon,0.857271391,0.677319611,0.000454687,0.00089117
11,Evening,0.923422736,0.761787211,0.000647621,0.001269316
11,Morning,0.835417872,0.672234775,0.000784363,0.001537326
11,Night Owl,0.815641321,0.908572616,0.002224723,0.004360409
12,Afternoon,0.862023467,0.662720696,0.000436577,0.000855675
12,Evening,0.927484672,0.749634911,0.000625431,0.001225824
12,Morning,0.83552995,0.719938939,0.000874833,0.001714645
12,Night Owl,0.829213761,0.90488111,0.002188156,0.004288737
13,Afternoon,0.862372045,0.658337227,0.000430018,0.000842821
13,Evening,0.927230229,0.743784562,0.000615726,0.001206802
13,Morning,0.833387795,0.749712413,0.000937453,0.001837377
13,Night Owl,0.83080488,0.899897487,0.002152988,0.004219808
14,Afternoon,0.859982525,0.650399139,0.000422177,0.000827453
14,Evening,0.9232888,0.73961886,0.000608381,0.001192406
14,Morning,0.83190401,0.754723051,0.000954765,0.001871309
14,Night Owl,0.829587334,0.891882192,0.002112125,0.004139717
15,Afternoon,0.861081263,0.644589066,0.000416388,0.000816106
15,Evening,0.922244856,0.730481657,0.000592929,0.00116212
15,Morning,0.834782718,0.761260094,0.000968816,0.001898848
15,Night Owl,0.827072311,0.887038181,0.002078376,0.004073569
16,Afternoon,0.864354604,0.64245033,0.000414531,0.000812467
16,Evening,0.924328601,0.713781896,0.000567427,0.001112137
16,Morning,0.842802718,0.761111927,0.000966854,0.001895003
16,Night Owl,0.829728123,0.888625864,0.002070174,0.004057494
17,Afternoon,0.870318784,0.654812704,0.000426218,0.000835372
17,Evening,0.92880459,0.68672439,0.000530162,0.0010391
17,Morning,0.848976966,0.759462304,0.000961488,0.001884485
17,Night Owl,0.835870662,0.888291385,0.002068514,0.00405424
18,Afternoon,0.872595916,0.687502546,0.000459236,0.000900087
18,Evening,0.9301781,0.65476759,0.000489724,0.000959843
18,Morning,0.848880834,0.760290019,0.000967522,0.001896312
18,Night Owl,0.834607993,0.892093698,0.002086023,0.004088557
19,Afternoon,0.870031651,0.721365531,0.000495652,0.00097146
19,Evening,0.925407053,0.638439255,0.000469295,0.000919802
19,Morning,0.842471851,0.779032805,0.001009573,0.001978731
19,Night Owl,0.835489715,0.89284521,0.002092275,0.004100811
20,Afternoon,0.857405671,0.758070662,0.000537051,0.001052602
20,Evening,0.914684901,0.639160261,0.000467852,0.000916973
20,Morning,0.819007377,0.816988744,0.001092397,0.002141063
20,Night Owl,0.822730808,0.887943264,0.002069191,0.004055566
21,Afternoon,0.834687185,0.801022355,0.000590772,0.001157893
21,Evening,0.894653761,0.655691648,0.000483803,0.000948237
21,Morning,0.785336614,0.861822759,0.001203678,0.002359172
21,Night Owl,0.788725207,0.868393949,0.001980077,0.003880903
22,Afternoon,0.801146752,0.857230547,0.000670512,0.00131418
22,Evening,0.864465411,0.696915621,0.000529445,0.001037694
22,Morning,0.738485417,0.923073248,0.001378927,0.002702655
22,Night Owl,0.728982989,0.820941933,0.001792599,0.00351345
23,Afternoon,0.75767062,0.925271314,0.000792669,0.001553604
23,Evening,0.826108119,0.768553447,0.000625015,0.001225008
23,Morning,0.684688863,0.994171148,0.001650869,0.003235654
23,Night Owl,0.657416862,0.768737273,0.001597551,0.003131158
