hours,dow,within_variation,sd,se,ci
0,Mon,0.655551678,0.969658977,0.001613561,0.003162532
0,Tue,0.662782672,0.965274137,0.001614871,0.0031651
0,Wed,0.680572891,0.956452495,0.001584439,0.003105453
0,Thu,0.701529128,0.949188909,0.001551887,0.003041652
0,Fri,0.758343754,0.930715248,0.001472557,0.002886167
0,Sat,0.831753432,0.855920061,0.00126834,0.002485908
0,Sun,0.785308906,0.852853927,0.00125435,0.002458488
1,Mon,0.61452948,1.032955502,0.001986343,0.003893178
1,Tue,0.620283045,1.035241092,0.002014435,0.003948238
1,Wed,0.637007305,1.027247679,0.001973106,0.003867234
1,Thu,0.660447886,1.01615401,0.001923758,0.003770513
1,Fri,0.727419926,0.993640716,0.00180472,0.003537201
1,Sat,0.792430587,0.917866402,0.001535424,0.003009386
1,Sun,0.751852208,0.911623382,0.001492374,0.00292501
2,Mon,0.580724669,1.091058812,0.002412967,0.004729357
2,Tue,0.59085804,1.088541859,0.002432746,0.004768124
2,Wed,0.608089603,1.076597431,0.002370337,0.004645802
2,Thu,0.623556098,1.077560603,0.002342634,0.004591504
2,Fri,0.69162146,1.048919409,0.002178118,0.004269056
2,Sat,0.76029986,0.974108782,0.001853017,0.003631862
2,Sun,0.720661622,0.963783879,0.00178952,0.003507409
3,Mon,0.561305915,1.125093764,0.002791152,0.005470597
3,Tue,0.571822871,1.1268228,0.002814692,0.005516736
3,Wed,0.585031999,1.118830509,0.002757941,0.005405505
3,Thu,0.605442413,1.110355909,0.00269662,0.005285315
3,Fri,0.668149156,1.090293713,0.002539842,0.004978032
3,Sat,0.728375893,1.020098511,0.002189844,0.00429204
3,Sun,0.688009565,1.012903165,0.002127877,0.004170585
4,Mon,0.574978473,1.125536073,0.002954448,0.00579066
4,Tue,0.585083033,1.128347877,0.002963841,0.00580907
4,Wed,0.603052046,1.121107104,0.002910857,0.005705222
4,Thu,0.616542105,1.113845537,0.002860994,0.00560749
4,Fri,0.672471104,1.094524206,0.002712886,0.005317198
4,Sat,0.713022414,1.048181022,0.002454097,0.004809974
4,Sun,0.657344219,1.052432419,0.002452463,0.004806771
5,Mon,0.664583566,1.049073699,0.002529938,0.004958623
5,Tue,0.677452825,1.037157362,0.002471686,0.004844449
5,Wed,0.689307178,1.037378251,0.002459783,0.004821119
5,Thu,0.701748801,1.030561474,0.002424434,0.004751836
5,Fri,0.742343173,1.021529676,0.002346008,0.004598121
5,Sat,0.738688247,1.03447155,0.002434455,0.004771476
5,Sun,0.659634356,1.056298239,0.002573682,0.005044361
6,Mon,0.771180887,0.906417851,0.001733626,0.00339786
6,Tue,0.783060967,0.895246296,0.001672365,0.003277788
6,Wed,0.79370559,0.891800543,0.001659245,0.003252074
6,Thu,0.805697895,0.891136918,0.001650338,0.003234617
6,Fri,0.836396401,0.88702037,0.001621168,0.003177444
6,Sat,0.80121776,0.967891214,0.002026701,0.003972281
6,Sun,0.706670874,1.016547378,0.002327018,0.0045609
7,Mon,0.823825187,0.818078961,0.001296542,0.002541183
7,Tue,0.834158044,0.805236229,0.001244314,0.002438817
7,Wed,0.844350273,0.804153138,0.001235945,0.002422415
7,Thu,0.859685201,0.802914815,0.001227522,0.002405906
7,Fri,0.890160674,0.796496716,0.001205407,0.002362561
7,Sat,0.86203733,0.882461642,0.001532181,0.00300303
7,Sun,0.755386813,0.951111639,0.001856642,0.003638967
8,Mon,0.836203219,0.79736356,0.001162019,0.002277521
8,Tue,0.84718511,0.784450862,0.001122768,0.00220059
8,Wed,0.857910871,0.782035378,0.001111377,0.002178265
8,Thu,0.874061471,0.77791059,0.001098951,0.00215391
8,Fri,0.905150765,0.775193443,0.001079445,0.002115679
8,Sat,0.894467452,0.816220546,0.001201803,0.002355496
8,Sun,0.792521685,0.880509884,0.001432686,0.002808022
9,Mon,0.833445798,0.779567701,0.001068556,0.002094336
9,Tue,0.842623029,0.767401557,0.001044567,0.002047319
9,Wed,0.854396855,0.762194032,0.001028706,0.002016231
9,Thu,0.871414933,0.7589436,0.001017328,0.00199393
9,Fri,0.906211814,0.749489357,0.00098622,0.001932959
