hours,gender,within_variation,sd,se,ci
0,F,0.692292273,0.953319883,0.000849176,0.001664356
0,M,0.766818976,0.897939435,0.000729824,0.001430429
1,F,0.652279222,1.019248568,0.001053334,0.002064499
1,M,0.731663922,0.960101928,0.000883134,0.001730912
2,F,0.619733289,1.076628468,0.001285819,0.002520164
2,M,0.699295154,1.013204434,0.001056469,0.002070644
3,F,0.594550251,1.116019302,0.001507266,0.002954194
3,M,0.673564204,1.056206761,0.001230723,0.002412176
4,F,0.599326488,1.123949784,0.001625667,0.003186257
4,M,0.66729592,1.07379654,0.001340851,0.002628025
5,F,0.677253986,1.05110803,0.001409809,0.002763181
5,M,0.716507725,1.026903177,0.001236861,0.002424208
6,F,0.779656832,0.910881687,0.000965839,0.001893012
6,M,0.799869851,0.922485968,0.000937018,0.001836524
7,F,0.833085474,0.825187971,0.000718504,0.001408243
7,M,0.853141366,0.835515088,0.000711282,0.001394088
8,F,0.850390167,0.798240518,0.000626389,0.0012277
8,M,0.870698346,0.801009333,0.000616901,0.001209104
9,F,0.855061047,0.76736184,0.000557937,0.001093538
9,M,0.873667971,0.769266289,0.00055217,0.001082234
10,F,0.85693576,0.733867164,0.000505516,0.000990793
10,M,0.87803384,0.737272041,0.000503983,0.000987788
11,F,0.861579581,0.712430481,0.000476357,0.000933643
11,M,0.883669032,0.714814221,0.000474729,0.000930452
12,F,0.865451371,0.709906372,0.00047105,0.000923241
12,M,0.888287993,0.710311252,0.000466553,0.000914429
13,F,0.863935984,0.713347541,0.000473049,0.000927159
13,M,0.889781526,0.706855047,0.00046176,0.000905033
14,F,0.860115471,0.710196194,0.00046983,0.000920851
14,M,0.888351993,0.700220311,0.000454881,0.000891551
15,F,0.860197186,0.706073884,0.000464508,0.000910419
15,M,0.889483803,0.694376112,0.000447912,0.000877891
16,F,0.862836313,0.70007788,0.000457163,0.000896023
16,M,0.893877881,0.688039128,0.00044018,0.000862738
17,F,0.868175716,0.697786776,0.000453368,0.000888585
17,M,0.899645241,0.683998383,0.00043455,0.000851703
18,F,0.87085948,0.702868709,0.000458109,0.000897877
18,M,0.900323559,0.687217619,0.000436812,0.000856136
19,F,0.866450115,0.715732473,0.000471474,0.000924073
19,M,0.897539824,0.697050944,0.000446068,0.000874278
20,F,0.852088915,0.737649946,0.000494488,0.000969179
20,M,0.886096631,0.716184107,0.000464524,0.00091045
21,F,0.825133809,0.768874482,0.000530106,0.00103899
21,M,0.867423002,0.742550451,0.000492142,0.000964582
22,F,0.784788609,0.819289783,0.000592529,0.001161336
22,M,0.839859677,0.779870679,0.000536484,0.00105149
23,F,0.736203123,0.883472629,0.000694789,0.001361762
23,M,0.802764723,0.836049042,0.000614355,0.001204115
