hours,region_5,within_variation,sd,se,ci
0,Asia,0.552998164,0.696276729,0.001854116,0.003634032
0,Europe,0.719408154,0.725402741,0.001602248,0.003140367
0,Latin America,0.952494218,0.673765649,0.001425012,0.002792988
0,North America,0.716614447,0.706055572,0.001747245,0.003424562
0,Oceania,0.671798672,0.790166777,0.007640616,0.014977027
1,Asia,0.496993082,0.794450305,0.002266309,0.004441927
1,Europe,0.705508073,0.812498425,0.001977063,0.003875001
1,Latin America,0.92563813,0.767002052,0.00174537,0.003420883
1,North America,0.68085347,0.787962542,0.002096068,0.004108252
1,Oceania,0.643310072,0.872125157,0.009290553,0.018211651
2,Asia,0.455612427,0.87982271,0.002703132,0.005298102
2,Europe,0.687421772,0.882626467,0.002384041,0.004672675
2,Latin America,0.899966033,0.852907228,0.002113982,0.004143359
2,North America,0.64822406,0.859296207,0.002457993,0.004817625
2,Oceania,0.628202299,0.93493392,0.010807943,0.021186606
3,Asia,0.435206911,0.938070437,0.003078886,0.006034584
3,Europe,0.661671174,0.938361112,0.002793372,0.005474968
3,Latin America,0.868058134,0.925058019,0.002495268,0.004890678
3,North America,0.625026429,0.9113886,0.002775517,0.005439974
3,Oceania,0.602507643,0.984011922,0.012114185,0.023747723
4,Asia,0.443847629,0.954869501,0.003200604,0.006273154
4,Europe,0.645205962,0.972972434,0.003116197,0.00610771
4,Latin America,0.85607765,0.957918649,0.00274832,0.005386662
4,North America,0.624783063,0.926707859,0.002906126,0.00569597
4,Oceania,0.617393028,0.996914175,0.012574917,0.024651133
5,Asia,0.529648371,0.880050818,0.002798385,0.0054848
5,Europe,0.66562523,0.955337299,0.003038272,0.005954977
5,Latin America,0.900419912,0.903943438,0.002515753,0.004930832
5,North America,0.683950449,0.867036267,0.002573533,0.005044086
5,Oceania,0.694867023,0.879555256,0.010291596,0.020174502
6,Asia,0.630122144,0.756612186,0.002202751,0.004317357
6,Europe,0.738503532,0.838888104,0.00228346,0.00447554
6,Latin America,0.97880991,0.757749057,0.00184628,0.003618669
6,North America,0.768556314,0.722529628,0.001878406,0.003681637
6,Oceania,0.763780622,0.7534824,0.007436205,0.014576412
7,Asia,0.698896182,0.650366911,0.001748456,0.003426941
7,Europe,0.800394277,0.697255066,0.001601641,0.00313918
7,Latin America,1.020717026,0.637979433,0.001404131,0.002752062
7,North America,0.818536606,0.600383332,0.001417655,0.002778572
7,Oceania,0.799934629,0.610739053,0.005259523,0.0103094
8,Asia,0.729046451,0.58126516,0.001486126,0.002912776
8,Europe,0.817767151,0.621720471,0.001317583,0.002582429
8,Latin America,1.040587759,0.55661006,0.001148282,0.002250603
8,North America,0.829197353,0.528888088,0.001195054,0.002342278
8,Oceania,0.819386978,0.516249579,0.004212774,0.00825755
9,Asia,0.743266569,0.535621189,0.001334519,0.002615629
9,Europe,0.816774437,0.548129029,0.001102927,0.002161707
9,Latin America,1.054720159,0.488683806,0.000967507,0.001896287
9,North America,0.835468468,0.46714975,0.001027251,0.002013387
9,Oceania,0.812565612,0.466436876,0.0037123,0.007276532
10,Asia,0.742678163,0.506396489,0.001244259,0.00243872
10,Europe,0.817049621,0.486172198,0.000949054,0.00186012
10,Latin America,1.064216287,0.440857754,0.000852752,0.00167137
10,North America,0.842013064,0.428280771,0.000927891,0.001818643
10,Oceania,0.824834389,0.434200919,0.003407516,0.006679106
11,Asia,0.744641551,0.493162319,0.001202785,0.002357432
11,Europe,0.82030149,0.450296922,0.00086686,0.001699022
11,Latin America,1.073659038,0.411740227,0.000786594,0.001541702
11,North America,0.84950248,0.407383869,0.000875696,0.001716341
11,Oceania,0.826404718,0.413824378,0.00323478,0.006340522
12,Asia,0.740039373,0.498327835,0.00121521,0.002381784
12,Europe,0.823962706,0.440062947,0.000843189,0.001652627
12,Latin America,1.081366614,0.404650582,0.000769829,0.001508844
12,North America,0.857138947,0.399963973,0.000857753,0.001681174
12,Oceania,0.827311552,0.421437288,0.003294188,0.006456968
13,Asia,0.735776674,0.493571955,0.001201268,0.002354458
13,Europe,0.823674928,0.44375621,0.000849737,0.001665461
13,Latin America,1.080447685,0.411554974,0.000782751,0.00153417
13,North America,0.857779822,0.398189598,0.0008525,0.001670879
13,Oceania,0.826809932,0.412970148,0.003224067,0.006319522
14,Asia,0.732660346,0.485491549,0.001178426,0.002309689
14,Europe,0.818010434,0.443063446,0.000847868,0.001661798
14,Latin America,1.077118195,0.408911352,0.000778024,0.001524906
14,North America,0.860221491,0.392653445,0.000839369,0.001645142
14,Oceania,0.828022076,0.417231879,0.003250807,0.006371932
15,Asia,0.735120702,0.481774971,0.00116781,0.002288881
15,Europe,0.815682592,0.439018799,0.000839085,0.001644584
15,Latin America,1.074562198,0.41301038,0.000785782,0.001540111
15,North America,0.865985118,0.38834754,0.000829063,0.001624942
15,Oceania,0.829977777,0.39672922,0.003085542,0.006047994
16,Asia,0.743880836,0.477050083,0.001154679,0.002263145
16,Europe,0.815697628,0.427185955,0.00081401,0.001595436
16,Latin America,1.076483431,0.410599552,0.000781263,0.001531254
16,North America,0.87132298,0.387150069,0.000826382,0.001619688
16,Oceania,0.842118243,0.409283827,0.003174269,0.006221906
17,Asia,0.752273557,0.479964445,0.001162015,0.002277525
17,Europe,0.822498957,0.419254531,0.000796774,0.001561655
17,Latin America,1.081223186,0.408516523,0.000776654,0.001522221
17,North America,0.874370954,0.400162406,0.000855838,0.00167742
17,Oceania,0.840992245,0.389522905,0.00302292,0.005925246
18,Asia,0.74896736,0.496123762,0.001207579,0.002366827
18,Europe,0.826591147,0.418453275,0.000795434,0.001559028
18,Latin America,1.085654955,0.412698287,0.000784348,0.001537301
18,North America,0.870829407,0.418087644,0.000897767,0.001759601
18,Oceania,0.841448146,0.412677325,0.003218057,0.006307739
19,Asia,0.739189225,0.511795423,0.001249654,0.002449294
19,Europe,0.827461497,0.435046371,0.00082951,0.001625818
19,Latin America,1.087665841,0.42178214,0.000803078,0.001574012
19,North America,0.859379811,0.437389194,0.000943357,0.001848956
19,Oceania,0.829873587,0.446240158,0.003505886,0.006871923
20,Asia,0.722475702,0.518776378,0.00126844,0.002486114
20,Europe,0.819263821,0.465403026,0.000894021,0.001752257
20,Latin America,1.081190219,0.442960829,0.000846718,0.001659545
20,North America,0.843715748,0.454025943,0.000984009,0.001928633
20,Oceania,0.810346304,0.4822554,0.003818056,0.00748382
21,Asia,0.695181921,0.526435221,0.001290158,0.002528682
21,Europe,0.798996314,0.50606079,0.000984063,0.001928736
21,Latin America,1.062640129,0.472057406,0.000909611,0.001782813
21,North America,0.818755862,0.48698165,0.001065988,0.002089311
21,Oceania,0.773040445,0.530191339,0.004257501,0.008345199
22,Asia,0.660904768,0.552083213,0.001366597,0.002678501
22,Europe,0.769061532,0.559263108,0.001107964,0.002171581
22,Latin America,1.032116583,0.516883242,0.001008897,0.001977411
22,North America,0.785695662,0.54299453,0.001214148,0.002379702
22,Oceania,0.737795594,0.619518157,0.00515496,0.010104384
23,Asia,0.605575306,0.614367396,0.001557683,0.003053027
23,Europe,0.740648343,0.63625622,0.001309263,0.002566122
23,Latin America,0.99168344,0.58922356,0.001181858,0.002316411
23,North America,0.751938487,0.62157196,0.001445856,0.002833845
23,Oceania,0.708629385,0.694307084,0.006135667,0.012026824
