woy,Hemisphere,dist_code,within_variation,sd,se,ci
0,Northern,"(0,30]",0.8605465,0.631208716,0.001774831,0.003478637
0,Northern,"(30,60]",0.674077682,0.680533265,0.001089092,0.002134587
0,Northern,"(60,90]",0.559330651,0.752192725,0.007632247,0.014960794
0,Southern,"(0,30]",0.930036279,0.667578777,0.002370462,0.004646092
0,Southern,"(30,60]",1.069236068,0.642133082,0.004919585,0.009642895
1,Northern,"(0,30]",0.902614932,0.614249524,0.001639013,0.003212434
1,Northern,"(30,60]",0.788282547,0.639106668,0.000983559,0.001927745
1,Northern,"(60,90]",0.829194533,0.643512506,0.006330584,0.01240917
1,Southern,"(0,30]",0.939776513,0.619617443,0.002082692,0.004082057
1,Southern,"(30,60]",1.065996284,0.611384826,0.004424868,0.008673132
2,Northern,"(0,30]",0.889802755,0.739368704,0.002856686,0.005599104
2,Northern,"(30,60]",0.788058435,0.760027764,0.001675713,0.003284356
2,Northern,"(60,90]",0.849122249,0.722235935,0.008965824,0.017575971
2,Southern,"(0,30]",0.951325625,0.617945815,0.002075339,0.004067645
2,Southern,"(30,60]",1.071084461,0.606409973,0.004342258,0.008511198
3,Northern,"(0,30]",0.875224589,0.731984982,0.002783293,0.00545525
3,Northern,"(30,60]",0.79822197,0.746946145,0.001618143,0.00317152
3,Northern,"(60,90]",0.870048628,0.711305204,0.00869387,0.017042754
3,Southern,"(0,30]",0.956090478,0.606972096,0.002005033,0.003929844
3,Southern,"(30,60]",1.07235248,0.597363926,0.004271573,0.008372648
4,Northern,"(0,30]",0.8763787,0.731682306,0.002751055,0.00539206
4,Northern,"(30,60]",0.794477553,0.743066961,0.001602584,0.003141025
4,Northern,"(60,90]",0.870307519,0.67708707,0.008209076,0.016092357
4,Southern,"(0,30]",0.957121302,0.603351342,0.001976587,0.00387409
4,Southern,"(30,60]",1.090939473,0.595000039,0.004226027,0.008283367
5,Northern,"(0,30]",0.870400863,0.721950202,0.002694088,0.005280404
5,Northern,"(30,60]",0.799851629,0.733371365,0.00156564,0.003068614
5,Northern,"(60,90]",0.868108836,0.685423821,0.008225349,0.016124199
5,Southern,"(0,30]",0.958712215,0.599226761,0.001935378,0.003793318
5,Southern,"(30,60]",1.076645744,0.602188167,0.004231434,0.008293953
6,Northern,"(0,30]",0.875449349,0.714055711,0.002641862,0.00517804
6,Northern,"(30,60]",0.808721239,0.724890311,0.001535878,0.003010281
6,Northern,"(60,90]",0.859168486,0.702601718,0.008377972,0.01642335
6,Southern,"(0,30]",0.953432494,0.600940739,0.001918265,0.003759777
6,Southern,"(30,60]",1.07304651,0.5866035,0.004087457,0.00801174
7,Northern,"(0,30]",0.867385117,0.708092324,0.00263175,0.005158221
7,Northern,"(30,60]",0.806370633,0.720896196,0.001521447,0.002981997
7,Northern,"(60,90]",0.878999625,0.676688096,0.00802065,0.015722858
7,Southern,"(0,30]",0.953915665,0.603519376,0.001920129,0.003763429
7,Southern,"(30,60]",1.087632241,0.588960391,0.004074802,0.007986927
8,Northern,"(0,30]",0.859682183,0.701903492,0.002574272,0.005045563
8,Northern,"(30,60]",0.801241508,0.715835126,0.001504995,0.002949752
8,Northern,"(60,90]",0.857701566,0.688434901,0.008197978,0.016070499
8,Southern,"(0,30]",0.952594019,0.597228398,0.001868951,0.003663119
8,Southern,"(30,60]",1.093396613,0.577739645,0.003961118,0.007764091
9,Northern,"(0,30]",0.867342073,0.691951728,0.002515357,0.004930087
9,Northern,"(30,60]",0.806822628,0.711797553,0.001487957,0.002916358
9,Northern,"(60,90]",0.88927649,0.669613649,0.007981778,0.015646689
9,Southern,"(0,30]",0.938455665,0.596551067,0.001842278,0.00361084
9,Southern,"(30,60]",1.086999949,0.566399143,0.0038455,0.007537461
10,Northern,"(0,30]",0.864918465,0.692539924,0.002504653,0.004909107
10,Northern,"(30,60]",0.803930069,0.711572816,0.001480235,0.002901222
10,Northern,"(60,90]",0.89869755,0.673608123,0.008018008,0.015717703
10,Southern,"(0,30]",0.935767923,0.58687326,0.001777996,0.003484846
10,Southern,"(30,60]",1.070559991,0.586454644,0.003944118,0.007730752
11,Northern,"(0,30]",0.864519804,0.691027525,0.002486579,0.004873682
11,Northern,"(30,60]",0.811423296,0.705483052,0.001459789,0.002861149
11,Northern,"(60,90]",0.912978145,0.674315428,0.007949092,0.015582555
11,Southern,"(0,30]",0.940589824,0.580809603,0.001734177,0.003398962
11,Southern,"(30,60]",1.079839959,0.585873633,0.003906606,0.007657218
12,Northern,"(0,30]",0.87701941,0.6790309,0.002418993,0.004741213
12,Northern,"(30,60]",0.816696952,0.697387579,0.001437149,0.002816775
12,Northern,"(60,90]",0.925680753,0.65135363,0.007578492,0.014856006
12,Southern,"(0,30]",0.944032251,0.579628599,0.001713543,0.003358518
12,Southern,"(30,60]",1.096020417,0.559613011,0.003685655,0.00722413
13,Northern,"(0,30]",0.883876901,0.675030248,0.002404879,0.004713548
