woy,Hemisphere,gender,within_variation,sd,se,ci
0,Northern,F,0.690094503,0.682857952,0.001346218,0.002638552
0,Northern,M,0.744432812,0.663269719,0.001277988,0.002504822
0,Southern,F,0.96162233,0.661066125,0.00306539,0.00600821
0,Southern,M,0.943674227,0.665087573,0.002979073,0.005839017
1,Northern,F,0.800862794,0.643433779,0.00121668,0.002384659
1,Northern,M,0.834146464,0.623876618,0.001151905,0.002257702
1,Southern,F,0.969237148,0.614955683,0.002695334,0.00528288
1,Southern,M,0.950948717,0.621222215,0.002635826,0.005166236
2,Northern,F,0.795136894,0.758503773,0.002056125,0.004029966
2,Northern,M,0.833527693,0.750474142,0.001983868,0.003888344
2,Southern,F,0.984898569,0.616461835,0.00269282,0.005277953
2,Southern,M,0.95627895,0.615455812,0.002606507,0.00510877
3,Northern,F,0.796324563,0.74764832,0.001989708,0.003899789
3,Northern,M,0.841118363,0.737734245,0.001919297,0.003761783
3,Southern,F,0.984791578,0.607472631,0.002615575,0.005126548
3,Southern,M,0.964640292,0.603409571,0.002521704,0.004942553
4,Northern,F,0.797871413,0.741334159,0.001960406,0.003842357
4,Northern,M,0.834864562,0.736515651,0.001904674,0.003733123
4,Southern,F,0.992116798,0.600618063,0.002569655,0.005036543
4,Southern,M,0.965759525,0.603104073,0.002496346,0.004892851
5,Northern,F,0.798824872,0.734668238,0.001922833,0.003768715
5,Northern,M,0.838736521,0.72460395,0.001857428,0.00364052
5,Southern,F,0.98856991,0.605527013,0.002555012,0.005007839
5,Southern,M,0.966815342,0.594433479,0.002427797,0.00475849
6,Northern,F,0.808015134,0.724482704,0.001880993,0.003686709
6,Northern,M,0.844679633,0.719148832,0.001829617,0.003586011
6,Southern,F,0.984170678,0.602841582,0.00250901,0.004917673
6,Southern,M,0.961320651,0.594458483,0.002406774,0.004717283
7,Northern,F,0.802772223,0.72037309,0.001867154,0.003659584
7,Northern,M,0.843455948,0.713478534,0.001811268,0.003550047
7,Southern,F,0.986490568,0.59977063,0.002488503,0.004877479
7,Southern,M,0.964804277,0.602187968,0.002426403,0.004755755
8,Northern,F,0.796900526,0.714052762,0.001837409,0.003601285
8,Northern,M,0.837028093,0.709771603,0.001793565,0.003515351
8,Southern,F,0.98932318,0.593099879,0.002427234,0.004757387
8,Southern,M,0.96199535,0.594668244,0.00235655,0.004618841
9,Northern,F,0.802160417,0.711366078,0.001818221,0.003563676
9,Northern,M,0.845044151,0.70099467,0.00176086,0.003451248
9,Southern,F,0.973563578,0.593964602,0.002400626,0.004705234
9,Southern,M,0.951954357,0.589169545,0.002305052,0.004517902
10,Northern,F,0.800268337,0.71150151,0.001810296,0.003548142
10,Northern,M,0.841945944,0.701012132,0.001751841,0.003433571
10,Southern,F,0.966473902,0.588473358,0.00233696,0.004580446
10,Southern,M,0.948873647,0.585242698,0.002250101,0.004410197
11,Northern,F,0.808403473,0.706017187,0.001784808,0.003498186
11,Northern,M,0.845353332,0.696797527,0.001733848,0.003398304
11,Southern,F,0.973323837,0.584899632,0.00229526,0.004498711
11,Southern,M,0.953259982,0.578626413,0.002191327,0.004294996
12,Northern,F,0.817500328,0.694929812,0.001745774,0.00342168
12,Northern,M,0.850703468,0.688998635,0.001705505,0.003342753
12,Southern,F,0.979385952,0.577779743,0.002243082,0.00439644
12,Southern,M,0.958382989,0.574971041,0.002155901,0.004225559
13,Northern,F,0.81939971,0.680811966,0.001696783,0.003325659
13,Northern,M,0.853873202,0.66657225,0.001627447,0.003189761
13,Southern,F,0.972586664,0.580726625,0.002229347,0.004369517
13,Southern,M,0.954022163,0.580723125,0.002154865,0.004223528
14,Northern,F,0.823375673,0.664723859,0.001637872,0.003210194
14,Northern,M,0.856629689,0.661152044,0.001599671,0.00313532
14,Southern,F,0.967532364,0.578293641,0.002204115,0.004320062
14,Southern,M,0.94994337,0.579793593,0.002136828,0.004188175
15,Northern,F,0.829626635,0.654693276,0.001598011,0.003132067
15,Northern,M,0.862908997,0.647731339,0.001555824,0.003049381
15,Southern,F,0.96228536,0.58038785,0.002200998,0.004313952
15,Southern,M,0.946953281,0.579498177,0.002121395,0.004157925
16,Northern,F,0.829518287,0.652631856,0.001580324,0.003097401
16,Northern,M,0.863708908,0.644851596,0.001538684,0.003015785
16,Southern,F,0.973597276,0.572604182,0.002141313,0.004196968
16,Southern,M,0.954224079,0.565046041,0.00204013,0.003998644
17,Northern,F,0.835369479,0.650563187,0.001566086,0.003069494
17,Northern,M,0.870783726,0.641251546,0.001523898,0.002986806
17,Southern,F,0.975176511,0.574534998,0.002131111,0.00417697
17,Southern,M,0.954234331,0.570719817,0.002049148,0.004016318
18,Northern,F,0.833160837,0.650549656,0.001557351,0.003052373
18,Northern,M,0.864855152,0.642359535,0.001517233,0.002973742
18,Southern,F,0.973124897,0.576305411,0.002122762,0.004160605
18,Southern,M,0.950621294,0.567774056,0.002023986,0.003967001
19,Northern,F,0.837711027,0.645190687,0.001534191,0.00300698
19,Northern,M,0.873596486,0.631744791,0.001480894,0.002902518
19,Southern,F,0.981080088,0.575059926,0.002099458,0.004114929
19,Southern,M,0.961675559,0.564068375,0.001989873,0.003900138
20,Northern,F,0.844031475,0.64424026,0.001524894,0.002988758
20,Northern,M,0.871852694,0.631433699,0.001475389,0.002891728
20,Southern,F,0.974621338,0.576291124,0.002089974,0.004096339
20,Southern,M,0.955736042,0.570112071,0.002003269,0.003926393
21,Northern,F,0.841738089,0.637852575,0.001497736,0.002935528
21,Northern,M,0.872351293,0.630783863,0.001463638,0.002868697
21,Southern,F,0.974373347,0.574054645,0.002054247,0.004026313
21,Southern,M,0.955407477,0.572762098,0.001985588,0.003891737
22,Northern,F,0.850372084,0.634886156,0.001477983,0.002896812
22,Northern,M,0.878472517,0.627349905,0.00144347,0.002829167
22,Southern,F,0.974420194,0.574854541,0.002041626,0.004001574
22,Southern,M,0.957343195,0.565611966,0.001944166,0.00381055
23,Northern,F,0.853321301,0.640545708,0.001482371,0.002905413
23,Northern,M,0.880645886,0.627051267,0.001434198,0.002810994
23,Southern,F,0.975357937,0.566500223,0.00198739,0.00389527
23,Southern,M,0.95166653,0.562557792,0.001916146,0.00375563
24,Northern,F,0.852909591,0.636366733,0.001465369,0.002872089
24,Northern,M,0.885783862,0.625153834,0.001424503,0.002791991
24,Southern,F,0.970143369,0.564190735,0.001958996,0.003839617
24,Southern,M,0.953387511,0.5564237,0.001874841,0.003674672
25,Northern,F,0.851186057,0.637076135,0.001458547,0.002858717
25,Northern,M,0.884252936,0.623745814,0.001417004,0.002777294
25,Southern,F,0.974710826,0.566039199,0.001952057,0.003826016
25,Southern,M,0.95249539,0.558952865,0.001865084,0.003655546
26,Northern,F,0.858997745,0.634244031,0.001446806,0.002835705
26,Northern,M,0.88706891,0.620773444,0.001400995,0.002745916
26,Southern,F,0.983535725,0.557658938,0.001906017,0.003735777
26,Southern,M,0.96104877,0.551101887,0.001819948,0.00356708
27,Northern,F,0.857465793,0.632799529,0.001437572,0.002817607
27,Northern,M,0.886684355,0.620843803,0.00139456,0.002733303
27,Southern,F,0.996177148,0.562931295,0.001915142,0.003753662
27,Southern,M,0.966230473,0.541478317,0.001769206,0.003467626
28,Northern,F,0.859617782,0.63877279,0.001451816,0.002845526
28,Northern,M,0.889480409,0.619899158,0.001391126,0.002726573
28,Southern,F,1.046989859,0.67611313,0.002726307,0.005343569
28,Southern,M,1.013565853,0.677873723,0.0025711,0.00503935
29,Northern,F,0.860194703,0.634749941,0.001434204,0.002811006
29,Northern,M,0.890658617,0.620782727,0.00138692,0.00271833
29,Southern,F,1.009940331,0.683668377,0.004058112,0.007954092
29,Southern,M,0.975842306,0.684955662,0.003896261,0.007636831
30,Northern,F,0.868568249,0.626537267,0.001412687,0.002768832
30,Northern,M,0.89347816,0.61272256,0.001363465,0.002672359
30,Southern,F,1.008805377,0.691327428,0.004028343,0.007895731
30,Southern,M,0.971243695,0.678229347,0.003819268,0.007485916
31,Northern,F,0.864625962,0.629783026,0.001412457,0.002768381
31,Northern,M,0.893223185,0.610592428,0.001351153,0.002648226
31,Southern,F,1.015188832,0.689648214,0.00397824,0.00779752
31,Southern,M,0.971285665,0.677990633,0.003771915,0.007393095
32,Northern,F,0.858763778,0.629604292,0.001402982,0.00274981
32,Northern,M,0.892235224,0.608375927,0.001338176,0.002622793
32,Southern,F,1.016987121,0.674052092,0.003839709,0.007525986
32,Southern,M,0.983104245,0.675596616,0.003728029,0.007307072
33,Northern,F,0.853789758,0.631645525,0.001403587,0.002750997
33,Northern,M,0.889664156,0.613461068,0.001349959,0.002645887
33,Southern,F,1.026095384,0.681728633,0.003892797,0.007630043
33,Southern,M,1.010006418,0.670895278,0.003698541,0.007249273
34,Northern,F,0.849922365,0.626893875,0.001382575,0.002709814
34,Northern,M,0.886837942,0.612585423,0.001337944,0.002622337
34,Southern,F,0.988620423,0.682102578,0.003851475,0.007549043
34,Southern,M,0.969310817,0.65883335,0.003614675,0.00708489
35,Northern,F,0.840514956,0.623699388,0.001357631,0.002660922
35,Northern,M,0.876896137,0.610286201,0.001315022,0.002577409
35,Southern,F,0.992532743,0.671336678,0.003753062,0.007356145
35,Southern,M,0.96623147,0.671105817,0.003642583,0.007139587
36,Northern,F,0.825411774,0.622304866,0.00133616,0.00261884
36,Northern,M,0.868948869,0.605858839,0.001289324,0.002527043
36,Southern,F,0.981795936,0.669619689,0.003709249,0.007270265
36,Southern,M,0.955194014,0.667885777,0.003609034,0.007073826
37,Northern,F,0.823714515,0.624434241,0.00133258,0.002611823
37,Northern,M,0.86514048,0.606612713,0.00128213,0.002512942
37,Southern,F,0.987497775,0.669503305,0.003691091,0.007234672
37,Southern,M,0.960744778,0.667661996,0.003590255,0.007037017
38,Northern,F,0.816723058,0.627042396,0.001329142,0.002605085
38,Northern,M,0.858055482,0.60727556,0.001272742,0.002494543
38,Southern,F,0.979533449,0.660539502,0.003602413,0.007060854
38,Southern,M,0.960590927,0.671228979,0.003588331,0.007033243
39,Northern,F,0.803313946,0.626072897,0.001315668,0.002578676
39,Northern,M,0.851008606,0.610450392,0.001271228,0.002491575
39,Southern,F,0.987400105,0.643408146,0.003441867,0.006746168
39,Southern,M,0.965505953,0.631363016,0.003293042,0.006454457
40,Northern,F,0.796089501,0.627729305,0.001310994,0.002569514
40,Northern,M,0.84650755,0.611394346,0.001265352,0.002480058
40,Southern,F,0.959241596,0.655223418,0.003402943,0.006669864
40,Southern,M,0.949536502,0.646821,0.003247365,0.006364913
41,Northern,F,0.788853349,0.627868779,0.001304076,0.002555955
41,Northern,M,0.840214397,0.61067829,0.001255804,0.002461342
41,Southern,F,0.965240349,0.638139154,0.003208715,0.006289159
41,Southern,M,0.950571886,0.631854772,0.003066642,0.006010679
42,Northern,F,0.787468103,0.628534194,0.001296322,0.002540757
42,Northern,M,0.83802281,0.61076752,0.001244925,0.002440021
42,Southern,F,0.960351331,0.636103822,0.003168777,0.006210875
42,Southern,M,0.951531439,0.629862072,0.003022042,0.005923259
43,Northern,F,0.79014627,0.632320505,0.001295774,0.002539683
43,Northern,M,0.839270722,0.611306129,0.001238198,0.002426835
43,Southern,F,0.975163736,0.63445739,0.003116833,0.006109059
43,Southern,M,0.961437274,0.627263756,0.002968018,0.005817366
44,Northern,F,0.794710339,0.632085745,0.001288681,0.002525781
44,Northern,M,0.836672005,0.617885754,0.001243007,0.002436261
44,Southern,F,0.963451597,0.640978218,0.00313389,0.00614249
44,Southern,M,0.951182276,0.626105145,0.002951783,0.005785544
45,Northern,F,0.792860023,0.631213823,0.001279074,0.002506952
45,Northern,M,0.835029725,0.617347196,0.001232743,0.002416144
45,Southern,F,0.951148547,0.639279222,0.003089676,0.006055824
45,Southern,M,0.937930901,0.639291796,0.002969598,0.005820457
46,Northern,F,0.772005573,0.637836955,0.001283437,0.002515502
46,Northern,M,0.821173545,0.62289216,0.001236233,0.002422984
46,Southern,F,0.966253759,0.63250765,0.003020997,0.005921209
46,Southern,M,0.94220876,0.629524542,0.002894435,0.005673133
47,Northern,F,0.771097487,0.631793469,0.00125875,0.002467117
47,Northern,M,0.823435348,0.616349856,0.001212029,0.002375544
47,Southern,F,0.965847382,0.62608958,0.002960077,0.005801802
47,Southern,M,0.947382025,0.627353996,0.002859685,0.005605022
48,Northern,F,0.765850307,0.631260224,0.001250501,0.002450948
48,Northern,M,0.82100674,0.617219392,0.001205242,0.002362242
48,Southern,F,0.967702072,0.624760527,0.002894116,0.005672511
48,Southern,M,0.947791081,0.623967432,0.002788432,0.005465359
49,Northern,F,0.735457298,0.636317638,0.001247732,0.002445521
49,Northern,M,0.802771299,0.615636987,0.001191179,0.002334679
49,Southern,F,0.964412958,0.62801704,0.002884,0.00565268
49,Southern,M,0.943113045,0.629398866,0.002797301,0.00548274
50,Northern,F,0.716473736,0.638565328,0.00124103,0.002432386
50,Northern,M,0.782886531,0.619372652,0.001186324,0.002325163
50,Southern,F,0.961748976,0.626073663,0.002848233,0.005582573
50,Southern,M,0.947173031,0.623880908,0.002750296,0.005390608
51,Northern,F,0.711350655,0.638903314,0.00123303,0.002416705
51,Northern,M,0.776255119,0.617558467,0.001173885,0.002300783
51,Southern,F,0.964232439,0.626130594,0.00282612,0.005539229
51,Southern,M,0.942642985,0.618982388,0.002704889,0.005301608
52,Northern,F,0.711496452,0.738440178,0.001565736,0.003068804
52,Northern,M,0.77475519,0.726951576,0.001510554,0.002960647
52,Southern,F,0.990674371,0.710728509,0.003545894,0.006950035
52,Southern,M,0.969976478,0.719113565,0.003421365,0.006705935
