hours,age_group,within_variation,sd,se,ci
0,10-19,0.483729743,0.137631774,0.000178859,0.000350558
0,20-29,0.483685235,0.14999159,0.00015065,0.000295269
0,30-39,0.48626258,0.161309883,0.000233444,0.000457544
0,40-49,0.488829018,0.161736108,0.00038264,0.000749967
0,Over 50,0.481916328,0.15482461,0.00021183,0.00041518
1,10-19,0.481531674,0.143703043,0.000214409,0.000420235
1,20-29,0.480323483,0.156935197,0.000177689,0.000348264
1,30-39,0.48296598,0.167884347,0.000279644,0.000548094
1,40-49,0.485841886,0.168227997,0.000464014,0.000909459
1,Over 50,0.47878148,0.160605342,0.000254938,0.000499671
2,10-19,0.479360448,0.149385693,0.000256896,0.000503509
2,20-29,0.477015301,0.162918115,0.000208926,0.000409488
2,30-39,0.479495053,0.172722635,0.000329304,0.000645427
2,40-49,0.48258504,0.173910146,0.000555799,0.00108936
2,Over 50,0.475748546,0.165039012,0.0003006,0.000589167
3,10-19,0.477592906,0.153804402,0.000301435,0.000590805
3,20-29,0.473859676,0.167639407,0.000240943,0.000472241
3,30-39,0.476388373,0.17692067,0.000377198,0.000739298
3,40-49,0.480814037,0.178014001,0.000636903,0.001248326
3,Over 50,0.47279807,0.168718112,0.000342951,0.000672176
4,10-19,0.476698111,0.157175019,0.00033819,0.000662844
4,20-29,0.472934907,0.16984311,0.000262167,0.000513839
4,30-39,0.475824186,0.178356801,0.000401768,0.000787455
4,40-49,0.480667115,0.179660261,0.000674909,0.00132282
4,Over 50,0.472291847,0.171526842,0.000369444,0.000724102
5,10-19,0.480478766,0.15660774,0.000323412,0.00063388
5,20-29,0.477523516,0.167152666,0.000247408,0.000484912
5,30-39,0.481191449,0.174232685,0.000364691,0.000714785
5,40-49,0.485191817,0.174441011,0.000599408,0.001174834
5,Over 50,0.476223218,0.170256529,0.000346698,0.000679519
6,10-19,0.487435358,0.146766498,0.000241063,0.000472476
6,20-29,0.485434546,0.15686797,0.000196161,0.000384469
6,30-39,0.490475643,0.163473612,0.000277444,0.000543782
6,40-49,0.49404079,0.164973077,0.000448416,0.000878886
6,Over 50,0.483438165,0.161731881,0.000267415,0.000524125
7,10-19,0.489989678,0.139262157,0.000192662,0.000377612
7,20-29,0.490619251,0.146534623,0.000154844,0.00030349
