hours,chronotype,within_variation,sd,se,ci
0,Afternoon,0.484925957,0.163638697,0.000158788,0.000311218
0,Evening,0.485676293,0.14223422,0.000130349,0.00025548
0,Morning,0.482417604,0.168642539,0.000323269,0.000633598
0,Night Owl,0.462736641,0.112563823,0.000225475,0.000441925
1,Afternoon,0.481400584,0.170584057,0.000192123,0.000376555
1,Evening,0.483278468,0.153052661,0.000163476,0.000320408
1,Morning,0.478578335,0.174610687,0.000389917,0.000764228
1,Night Owl,0.458507139,0.109254274,0.000217294,0.00042589
2,Afternoon,0.477980576,0.17720831,0.000231788,0.000454298
2,Evening,0.480347646,0.162403642,0.000203531,0.000398915
2,Morning,0.475529878,0.17687533,0.000446786,0.000875691
2,Night Owl,0.455548995,0.111440302,0.000226094,0.000443138
3,Afternoon,0.474169168,0.182464257,0.000272477,0.000534047
3,Evening,0.477877014,0.169787268,0.000246598,0.000483324
3,Morning,0.474886746,0.178063206,0.000480634,0.000942034
3,Night Owl,0.452856906,0.11685908,0.000246362,0.000482863
4,Afternoon,0.473855396,0.184719315,0.000297977,0.000584025
4,Evening,0.475772362,0.174549614,0.000281925,0.000552564
4,Morning,0.477679023,0.174396403,0.000454501,0.000890813
4,Night Owl,0.451662717,0.1227551,0.000271464,0.000532063
5,Afternoon,0.478422732,0.180191596,0.000274185,0.000537395
5,Evening,0.479548473,0.173492283,0.000275618,0.000540204
5,Morning,0.486904398,0.161238202,0.000334821,0.000656241
5,Night Owl,0.452288673,0.12792126,0.000297286,0.000582674
6,Afternoon,0.487190511,0.16823181,0.000202457,0.000396809
6,Evening,0.487441144,0.163148643,0.000214694,0.000420793
6,Morning,0.49485365,0.139601444,0.000214948,0.000421291
6,Night Owl,0.455724239,0.135897526,0.000330668,0.000648101
7,Afternoon,0.49265336,0.156073319,0.000148941,0.00029192
7,Evening,0.491978552,0.154625835,0.000169881,0.000332962
7,Morning,0.498445517,0.124441449,0.000158994,0.000311622
7,Night Owl,0.462750416,0.143276346,0.000358502,0.000702657
8,Afternoon,0.495246645,0.149098,0.00012351,0.000242075
8,Evening,0.494054336,0.153161665,0.00015464,0.000303089
8,Morning,0.499461027,0.116844938,0.000137911,0.000270302
8,Night Owl,0.469146747,0.149961669,0.000382318,0.000749335
9,Afternoon,0.495856942,0.13853047,0.000103338,0.00020254
9,Evening,0.495118542,0.149751207,0.000141097,0.000276545
9,Morning,0.500280905,0.114528037,0.000131859,0.00025844
9,Night Owl,0.474585086,0.153193302,0.000389604,0.000763616
10,Afternoon,0.496320911,0.127645841,8.90E-05,0.000174472
10,Evening,0.496192007,0.144108138,0.000127626,0.000250143
10,Morning,0.500524402,0.114882652,0.000132078,0.000258869
10,Night Owl,0.479201541,0.153506386,0.000383968,0.000752568
11,Afternoon,0.496997786,0.120675099,8.10E-05,0.000158776
11,Evening,0.496927991,0.13907738,0.000118234,0.000231735
11,Morning,0.500875943,0.11852502,0.000138295,0.000271053
11,Night Owl,0.4817895,0.153105468,0.000374893,0.000734782
12,Afternoon,0.497557005,0.118060513,7.78E-05,0.000152434
12,Evening,0.497335851,0.137495506,0.000114714,0.000224836
12,Morning,0.50091295,0.128988672,0.000156741,0.000307206
12,Night Owl,0.483478632,0.153595285,0.000371419,0.000727974
13,Afternoon,0.497679597,0.117066309,7.65E-05,0.000149871
13,Evening,0.497457104,0.136392621,0.00011291,0.000221299
13,Morning,0.50077695,0.134682566,0.000168409,0.000330077
13,Night Owl,0.483364653,0.15250862,0.000364874,0.000715145
14,Afternoon,0.497504603,0.115123999,7.47E-05,0.000146463
14,Evening,0.497126562,0.135034758,0.000111074,0.000217702
14,Morning,0.500586315,0.135312767,0.000171178,0.000335503
14,Night Owl,0.482929237,0.151193658,0.000358052,0.000701773
15,Afternoon,0.497601878,0.113993925,7.36E-05,0.000144326
15,Evening,0.496762361,0.132743901,0.000107748,0.000211182
15,Morning,0.500811455,0.136386714,0.000173572,0.000340196
15,Night Owl,0.482634517,0.149817199,0.000351029,0.00068801
16,Afternoon,0.497833684,0.113739788,7.34E-05,0.00014384
16,Evening,0.496934872,0.129285878,0.000102777,0.000201439
16,Morning,0.50164274,0.137016747,0.000174055,0.000341142
16,Night Owl,0.483181814,0.15000129,0.000349448,0.000684911
17,Afternoon,0.498529482,0.116683541,7.59E-05,0.000148858
17,Evening,0.497387079,0.124269696,9.59E-05,0.000188036
17,Morning,0.502038594,0.137169388,0.000173658,0.000340364
17,Night Owl,0.483928937,0.149867055,0.000348987,0.000684006
18,Afternoon,0.498783715,0.123656522,8.26E-05,0.000161893
18,Evening,0.497896216,0.117616389,8.80E-05,0.000172417
18,Morning,0.502223085,0.137354476,0.000174793,0.000342589
18,Night Owl,0.483471666,0.151071342,0.000353257,0.000692375
19,Afternoon,0.498979838,0.129974061,8.93E-05,0.000175036
19,Evening,0.497844712,0.114314058,8.40E-05,0.000164693
19,Morning,0.502251623,0.140556358,0.000182151,0.000357011
19,Night Owl,0.483537721,0.151808621,0.000355745,0.000697252
20,Afternoon,0.498115136,0.136027976,9.64E-05,0.000188879
20,Evening,0.497211555,0.113588678,8.31E-05,0.00016296
20,Morning,0.500133883,0.145763514,0.000194901,0.000381999
20,Night Owl,0.482697548,0.151155971,0.000352242,0.000690385
21,Afternoon,0.496201528,0.142312988,0.000104959,0.000205716
21,Evening,0.49570105,0.115344376,8.51E-05,0.000166807
21,Morning,0.497074802,0.151001595,0.000210899,0.000413355
21,Night Owl,0.479452693,0.146598758,0.000334269,0.000655158
22,Afternoon,0.493106275,0.149345607,0.000116816,0.000228955
22,Evening,0.492834625,0.120470597,9.15E-05,0.000179378
22,Morning,0.492483242,0.156445087,0.000233705,0.000458054
22,Night Owl,0.474339732,0.13619577,0.000297395,0.000582888
23,Afternoon,0.488838107,0.156580224,0.00013414,0.000262911
23,Evening,0.489241413,0.129934825,0.000105668,0.000207105
23,Morning,0.487261807,0.162530428,0.00026989,0.000528976
23,Night Owl,0.468058552,0.123950313,0.000257587,0.000504864
