hours,dow,within_variation,sd,se,ci
0,Mon,0.473593584,0.153797572,0.000255927,0.000501609
0,Tue,0.473027409,0.153993053,0.000257625,0.000504938
0,Wed,0.47479922,0.152965255,0.000253399,0.000496654
0,Thu,0.478654413,0.152346747,0.000249081,0.000488191
0,Fri,0.486952819,0.152426476,0.000241166,0.000472678
0,Sat,0.500371164,0.146327267,0.000216834,0.000424988
0,Sun,0.49719474,0.147520808,0.000216969,0.000425252
1,Mon,0.469846967,0.159803182,0.000307297,0.000602293
1,Tue,0.469273859,0.159432442,0.000310233,0.000608049
1,Wed,0.471418116,0.159423776,0.000306216,0.000600176
1,Thu,0.475054517,0.158853053,0.000300737,0.000589436
1,Fri,0.484882486,0.158939518,0.000288677,0.000565799
1,Sat,0.496952126,0.153616276,0.000256972,0.000503658
1,Sun,0.494355263,0.154232656,0.000252487,0.000494867
2,Mon,0.466920878,0.164891431,0.000364671,0.000714746
2,Tue,0.467291233,0.164579067,0.000367812,0.000720903
2,Wed,0.468413119,0.164509898,0.0003622,0.000709904
2,Thu,0.47191747,0.164295218,0.00035718,0.000700065
2,Fri,0.481128145,0.164650124,0.000341902,0.000670119
2,Sat,0.493984448,0.159545075,0.000303498,0.000594847
2,Sun,0.490637148,0.15984094,0.000296787,0.000581694
3,Mon,0.464665091,0.169235666,0.000419843,0.000822883
3,Tue,0.465067371,0.168803626,0.000421655,0.000826434
3,Wed,0.466088017,0.167956959,0.000414018,0.000811465
3,Thu,0.469862788,0.168671059,0.000409636,0.000802877
3,Fri,0.478513146,0.168633039,0.000392831,0.00076994
3,Sat,0.490257111,0.164424698,0.00035297,0.000691813
3,Sun,0.487332487,0.165266883,0.000347188,0.000680479
4,Mon,0.465568631,0.170750514,0.000448207,0.000878478
4,Tue,0.465465317,0.170840814,0.000448749,0.000879539
4,Wed,0.467688296,0.171006748,0.000444004,0.000870239
4,Thu,0.469861799,0.170668745,0.000438375,0.000859206
4,Fri,0.478809192,0.170314823,0.000422142,0.000827389
4,Sat,0.488411394,0.167715911,0.000392672,0.000769628
4,Sun,0.483125228,0.169114844,0.000394085,0.000772398
5,Mon,0.472984779,0.167975563,0.000405089,0.000793965
5,Tue,0.473344388,0.166308137,0.000396335,0.000776807
5,Wed,0.474387845,0.166949896,0.000395864,0.000775884
5,Thu,0.477345509,0.166785256,0.000392369,0.000769033
5,Fri,0.482972544,0.166418669,0.000382191,0.000749086
5,Sat,0.489562866,0.168793257,0.000397227,0.000778555
5,Sun,0.481862473,0.170749553,0.000416033,0.000815416
6,Mon,0.481906259,0.156549672,0.000299419,0.000586853
6,Tue,0.482567078,0.154784163,0.000289145,0.000566715
6,Wed,0.483182997,0.154623153,0.000287685,0.000563855
6,Thu,0.487006934,0.155002543,0.000287057,0.000562623
6,Fri,0.490786725,0.154475762,0.000282329,0.000553356
6,Sat,0.495356053,0.164857027,0.0003452,0.000676583
6,Sun,0.48620424,0.168857599,0.000386538,0.000757606
7,Mon,0.486797724,0.146761115,0.000232596,0.000455881
7,Tue,0.487315632,0.144214173,0.000222851,0.000436781
7,Wed,0.487825701,0.144289776,0.000221767,0.000434656
7,Thu,0.491857683,0.144553933,0.000220999,0.000433151
7,Fri,0.49608332,0.143859576,0.000217715,0.000426715
7,Sat,0.501303742,0.157056245,0.00027269,0.000534465
7,Sun,0.490286903,0.164069245,0.000320276,0.000627731
8,Mon,0.488335263,0.143663721,0.000209365,0.000410349
8,Tue,0.488809712,0.141600693,0.00020267,0.000397227
8,Wed,0.489954519,0.141142365,0.000200582,0.000393135
8,Thu,0.493646323,0.140871162,0.000199008,0.00039005
8,Fri,0.498023023,0.140494104,0.000195636,0.00038344
8,Sat,0.50515896,0.147645989,0.000217394,0.000426085
8,Sun,0.494390523,0.155365658,0.000252797,0.000495474
9,Mon,0.488391487,0.139780289,0.000191597,0.000375525
9,Tue,0.488829171,0.137444752,0.000187086,0.000366683
9,Wed,0.489819361,0.137106224,0.000185047,0.000362687
9,Thu,0.493952877,0.136797096,0.00018337,0.000359399
9,Fri,0.498696944,0.135338271,0.000178086,0.000349042
9,Sat,0.508032683,0.137103386,0.000180461,0.000353699
9,Sun,0.497276339,0.144927518,0.000204898,0.000401594
10,Mon,0.488904108,0.133853478,0.000174919,0.000342835
10,Tue,0.488730686,0.132577935,0.000173484,0.000340024
10,Wed,0.489995392,0.132156563,0.000171587,0.000336305
10,Thu,0.49393469,0.131640574,0.000169629,0.000332468
10,Fri,0.499232326,0.129695284,0.000163649,0.000320747
10,Sat,0.509310527,0.127713088,0.000157472,0.000308641
10,Sun,0.499639029,0.13502654,0.000174807,0.000342617
11,Mon,0.489581518,0.130100171,0.000165175,0.000323738
11,Tue,0.489138157,0.129732689,0.000165632,0.000324634
11,Wed,0.490301946,0.129283119,0.000163884,0.000321207
11,Thu,0.494456709,0.128564263,0.000161604,0.000316739
11,Fri,0.499324017,0.126294615,0.000155709,0.000305184
11,Sat,0.51047006,0.121774383,0.000145318,0.000284818
11,Sun,0.501101107,0.127855843,0.000158005,0.000309685
12,Mon,0.4899122,0.130753972,0.00016461,0.000322631
12,Tue,0.489313228,0.13051605,0.000165386,0.000324152
12,Wed,0.490847342,0.129876969,0.000163221,0.000319909
12,Thu,0.494741538,0.129259455,0.000161388,0.000316315
12,Fri,0.499909053,0.126996586,0.00015552,0.000304815
12,Sat,0.511132553,0.120644309,0.000142571,0.000279434
12,Sun,0.501688156,0.125066072,0.000151898,0.000297714
13,Mon,0.489702133,0.130093073,0.000163236,0.000319938
13,Tue,0.489553182,0.130062827,0.000164013,0.00032146
13,Wed,0.490696033,0.129582279,0.000161999,0.000317512
13,Thu,0.494869153,0.129255237,0.000160736,0.000315037
