hours,gender,within_variation,sd,se,ci
0,F,0.484593403,0.114084305,0.0001927,0.000377687
0,M,0.490482264,0.106346624,0.000169631,0.000332472
1,F,0.481444776,0.127011097,0.000234634,0.000459876
1,M,0.488398524,0.118203187,0.000202124,0.000396157
2,F,0.478675132,0.137969696,0.000280253,0.000549289
2,M,0.485247346,0.128439257,0.000237233,0.000464971
3,F,0.475170705,0.14589981,0.000323296,0.000633653
3,M,0.482283984,0.137448504,0.000272792,0.000534665
4,F,0.474112749,0.149611064,0.000348366,0.00068279
4,M,0.479964038,0.142164769,0.000295466,0.000579105
5,F,0.479254901,0.144441054,0.000319191,0.000625606
5,M,0.482033035,0.1398554,0.000283765,0.000556171
6,F,0.487267815,0.127480852,0.000241778,0.000473879
6,M,0.488435801,0.127125436,0.000231479,0.000453692
7,F,0.492850885,0.109753428,0.000184067,0.000360766
7,M,0.49319519,0.110943749,0.000181992,0.000356698
8,F,0.49567002,0.097007678,0.000152623,0.000299136
8,M,0.495453414,0.098923035,0.0001531,0.000300071
9,F,0.497406439,0.085594494,0.000129426,0.00025367
9,M,0.496682549,0.088240559,0.000131773,0.000258272
10,F,0.498522087,0.076357999,0.00011296,0.000221398
10,M,0.497399743,0.08004493,0.000117049,0.000229411
11,F,0.499319636,0.071360375,0.000104432,0.000204684
11,M,0.498183236,0.07496318,0.000108447,0.000212554
12,F,0.499993667,0.070695215,0.000103198,0.000202264
12,M,0.498952563,0.073731328,0.000106273,0.000208292
13,F,0.499822562,0.071403788,0.000104234,0.000204296
13,M,0.499111318,0.073559489,0.000105812,0.000207388
14,F,0.499595092,0.071064322,0.000103664,0.000203179
14,M,0.498780263,0.072570696,0.00010427,0.000204367
15,F,0.499391451,0.07053344,0.000102834,0.000201552
15,M,0.498851882,0.071756168,0.000102961,0.000201801
16,F,0.499755582,0.069861747,0.000101746,0.000199419
16,M,0.498931277,0.070951824,0.000101676,0.000199282
17,F,0.500300885,0.070278631,0.000102368,0.000200637
17,M,0.499593963,0.070575593,0.000101023,0.000198003
18,F,0.500527143,0.071822891,0.000104878,0.000205558
18,M,0.499810106,0.071563819,0.000102577,0.000201047
19,F,0.500438409,0.074714904,0.000109562,0.000214738
19,M,0.500047197,0.073694407,0.000105845,0.000207453
20,F,0.499420001,0.078328169,0.000115518,0.000226412
20,M,0.499788905,0.076378424,0.000110124,0.000215839
21,F,0.496958013,0.083518262,0.000124459,0.000243935
21,M,0.498743487,0.080127796,0.000116362,0.000228067
22,F,0.493310652,0.091046511,0.000138276,0.000271016
22,M,0.496695435,0.086025326,0.000126648,0.000248227
23,F,0.488805758,0.101288203,0.000159836,0.000313274
23,M,0.493775769,0.094842936,0.000143582,0.000281417
