hours,region_5,within_variation,sd,se,ci
0,Asia,0.439530089,0.138224563,0.000185648,0.000363864
0,Europe,0.47892496,0.155079818,0.000180603,0.000353977
0,Latin America,0.531008895,0.157417926,0.00017331,0.000339682
0,North America,0.46863831,0.148941474,0.000188922,0.00037028
0,Oceania,0.465804567,0.156471402,0.000826377,0.001619724
1,Asia,0.435285418,0.143769881,0.000216678,0.000424682
1,Europe,0.477578433,0.162096664,0.000222284,0.00043567
1,Latin America,0.527953223,0.164965573,0.000207878,0.000407435
1,North America,0.465192046,0.154524926,0.000220843,0.000432845
1,Oceania,0.463317988,0.162079694,0.00098899,0.001938472
2,Asia,0.431867948,0.149535917,0.00025417,0.000498166
2,Europe,0.475551582,0.167627554,0.00026933,0.000527879
2,Latin America,0.524749958,0.171767701,0.00024962,0.000489248
2,North America,0.462006004,0.158742016,0.000253303,0.000496466
2,Oceania,0.461176486,0.165038,0.001135603,0.002225869
3,Asia,0.43005467,0.1541299,0.00029068,0.000569724
3,Europe,0.473502435,0.171837949,0.000316432,0.000620198
3,Latin America,0.520788062,0.177845923,0.000294794,0.000577788
3,North America,0.459411759,0.16240206,0.00028406,0.00055675
3,Oceania,0.459129952,0.167357873,0.001252081,0.0024542
4,Asia,0.430516646,0.157392195,0.000310147,0.00060788
4,Europe,0.472126053,0.174506421,0.00035315,0.000692164
4,Latin America,0.51856923,0.181709298,0.000330496,0.000647764
4,North America,0.459683532,0.16442247,0.000300831,0.000589621
4,Oceania,0.461156926,0.169274881,0.001313432,0.002574468
5,Asia,0.438612655,0.154803741,0.000282812,0.000554304
5,Europe,0.473157994,0.174610326,0.000351743,0.000689406
5,Latin America,0.521725672,0.178207635,0.000307435,0.000602564
5,North America,0.464725106,0.162743873,0.00027787,0.000544616
5,Oceania,0.468010296,0.166749907,0.0011759,0.00230486
6,Asia,0.448456094,0.146513199,0.000231597,0.000453924
6,Europe,0.48042699,0.166681047,0.000268375,0.000526007
6,Latin America,0.52898468,0.164572354,0.000227335,0.00044557
6,North America,0.472711763,0.151971307,0.000211543,0.000414618
