woy,Hemisphere,age_group,within_variation,sd,se,ci
0,Northern,10-19,0.487297522156515,0.0920061271360995,0.000281666073980061,0.000552061623104801
0,Northern,20-29,0.490031138935432,0.10274979157955,0.000267294948922154,0.000523892764360395
0,Northern,30-39,0.495448035287059,0.109067348743815,0.000350936607309911,0.000687831730458265
0,Northern,40-49,0.499233902156322,0.109983849679142,0.000522714257445543,0.0010245291293096
0,Northern,Over 50,0.486279148418114,0.110928228241134,0.000306195665346557,0.000600138010880011
0,Southern,10-19,0.509846109146139,0.104452130632729,0.000816805371008613,0.00160102761645877
0,Southern,20-29,0.508376999488733,0.108871229703913,0.000561050304420985,0.00109967373849801
0,Southern,30-39,0.516060643601628,0.117114636778967,0.000824342245746716,0.00161577800992187
0,Southern,40-49,0.516711800249469,0.123945452525013,0.00154354069148104,0.00302585223796787
0,Southern,Over 50,0.507770163465608,0.122169830922527,0.000974866176258786,0.00191084987120734
1,Northern,10-19,0.486956857221566,0.0910235956627458,0.000266426627260033,0.000522192008938866
1,Northern,20-29,0.491787950021038,0.100319760094461,0.000248454038855894,0.000486964583196541
1,Northern,30-39,0.499024690232193,0.107637533826867,0.000333118636492212,0.000652908099178047
1,Northern,40-49,0.504712316688962,0.107494234601194,0.000491610622135166,0.00096356350750145
1,Northern,Over 50,0.492380558010052,0.106350172261312,0.000283271300504685,0.000555206314471678
1,Southern,10-19,0.510560666900685,0.0957449880202297,0.00071156861510809,0.0013947421051966
1,Southern,20-29,0.509239467709983,0.100648962343044,0.00049578363494452,0.000971746608050954
1,Southern,30-39,0.517993838328162,0.107615226971452,0.0007145034566759,0.00140047576792812
1,Southern,40-49,0.521132122302771,0.110282186188983,0.00128183116527231,0.0025127538545687
1,Southern,Over 50,0.50931179074142,0.112054915299689,0.000830766072015027,0.00162837992128091
2,Northern,10-19,0.493091666901072,0.113797220953269,0.000576153380949121,0.00112927491426708
2,Northern,20-29,0.488725111869191,0.116366725819225,0.000385436519233347,0.000755451727751373
2,Northern,30-39,0.49375065131109,0.121992626537414,0.000526035565164088,0.001031033966166
2,Northern,40-49,0.497946906435484,0.124512095555591,0.000818485703136106,0.00160428641037979
2,Northern,Over 50,0.491833557118217,0.124478326622228,0.000463723031738487,0.000908895708443369
2,Southern,10-19,0.512648861264633,0.0976900723680792,0.00072315417144906,0.00141745014871991
2,Southern,20-29,0.511215509764987,0.101869460510047,0.000503244718400704,0.000986370659964294
2,Southern,30-39,0.518685478318423,0.108408346327499,0.000717260052982585,0.00140587836353792
2,Southern,40-49,0.521648409907037,0.109188491170461,0.00126046401646032,0.00247086266820008
2,Southern,Over 50,0.509536775734297,0.111491625616508,0.000817804095956721,0.00160297096928325
3,Northern,10-19,0.491859610778118,0.112011396480163,0.00055517213897987,0.00108814975298318
3,Northern,20-29,0.488621488210333,0.113507949662405,0.000370434974627573,0.000726048568496464
3,Northern,30-39,0.493392107760167,0.118696926918587,0.000501684618915668,0.000983305046213485
3,Northern,40-49,0.499805078064176,0.120671170850666,0.000780165299644707,0.00152917325650068
3,Northern,Over 50,0.49077471957652,0.122075892214103,0.000447588032436057,0.00087727069771647
3,Southern,10-19,0.511856134885463,0.0969908590705148,0.000711343603389064,0.00139429862369363
3,Southern,20-29,0.510753272284325,0.0993495883623434,0.000482290920427134,0.000945299797955715
3,Southern,30-39,0.519810216397445,0.10506892737496,0.000683202653774921,0.00133912112930592
3,Southern,40-49,0.519285136166064,0.109297209293193,0.00125019323165784,0.00245072185998144
3,Southern,Over 50,0.509433980006884,0.110478782811311,0.000804104315461638,0.00157611656157301
