woy,Hemisphere,chronotype,within_variation,sd,se,ci
0,Northern,Afternoon,0.492729428,0.105136866,0.000211727,0.00041498
0,Northern,Evening,0.489629578,0.10252907,0.000239204,0.000468835
0,Northern,Morning,0.497098313,0.107882292,0.000399622,0.000783257
0,Northern,Night Owl,0.46810048,0.105689244,0.000689852,0.001352154
0,Southern,Afternoon,0.512647156,0.112486975,0.000549273,0.001076586
0,Southern,Evening,0.5150416,0.114251727,0.000612577,0.00120067
0,Southern,Morning,0.508612451,0.110426737,0.000890712,0.001745901
0,Southern,Night Owl,0.490832098,0.121631267,0.00186508,0.003656531
1,Northern,Afternoon,0.496241642,0.103152905,0.000199908,0.000391813
1,Northern,Evening,0.492318117,0.099319188,0.000221473,0.000434083
1,Northern,Morning,0.500224637,0.10486226,0.000372984,0.000731046
1,Northern,Night Owl,0.469216367,0.102750916,0.000629959,0.001234753
1,Southern,Afternoon,0.514505163,0.104396572,0.000482738,0.000946174
1,Southern,Evening,0.516249981,0.103478981,0.000524255,0.001027553
1,Southern,Morning,0.510239883,0.103078856,0.000788172,0.001544897
1,Southern,Night Owl,0.488902938,0.108525297,0.001571346,0.003080563
2,Northern,Afternoon,0.493751526,0.118928502,0.000322687,0.000632461
2,Northern,Evening,0.49191729,0.121918091,0.000402011,0.000787938
2,Northern,Morning,0.497638871,0.117594805,0.000591444,0.001159245
2,Northern,Night Owl,0.471237461,0.123794861,0.001137217,0.002229133
2,Southern,Afternoon,0.515917272,0.105217196,0.000486767,0.000954071
2,Southern,Evening,0.517469604,0.104007471,0.000523909,0.001026874
2,Southern,Morning,0.51085707,0.104605372,0.00079975,0.001567593
2,Southern,Night Owl,0.492769275,0.108261722,0.001543449,0.00302585
3,Northern,Afternoon,0.493241683,0.115883066,0.000308904,0.000605446
3,Northern,Evening,0.491342566,0.119313796,0.000387089,0.00075869
3,Northern,Morning,0.497850922,0.115409047,0.000570166,0.001117539
3,Northern,Night Owl,0.471734012,0.121011327,0.001094285,0.002144972
3,Southern,Afternoon,0.515778173,0.102367407,0.000466843,0.000915018
3,Southern,Evening,0.516556136,0.102231867,0.000508887,0.00099743
3,Southern,Morning,0.511419259,0.103615546,0.000777746,0.001524459
3,Southern,Night Owl,0.493844538,0.109628674,0.001548836,0.003036396
4,Northern,Afternoon,0.493759227,0.115769426,0.000306715,0.000601156
4,Northern,Evening,0.49118343,0.118557613,0.00038184,0.000748403
4,Northern,Morning,0.496772274,0.11426079,0.000561744,0.001101031
4,Northern,Night Owl,0.471333759,0.120756912,0.001089582,0.002135751
4,Southern,Afternoon,0.517154038,0.102529145,0.000463653,0.000908765
4,Southern,Evening,0.518443197,0.102490611,0.000506443,0.000992639
4,Southern,Morning,0.511487967,0.102464091,0.000763256,0.001496055
4,Southern,Night Owl,0.49401474,0.109019461,0.001523147,0.002986019
5,Northern,Afternoon,0.493017578,0.115282292,0.000302605,0.0005931
5,Northern,Evening,0.490132952,0.11780596,0.00037594,0.000736837
5,Northern,Morning,0.495586187,0.112091493,0.000545065,0.001068339
5,Northern,Night Owl,0.469621834,0.118334126,0.00105647,0.002070844
5,Southern,Afternoon,0.517503936,0.101051161,0.000451684,0.000885306
5,Southern,Evening,0.518345366,0.101721414,0.000495713,0.000971607
5,Southern,Morning,0.511120441,0.10140632,0.000741576,0.001453557
5,Southern,Night Owl,0.494012435,0.108107084,0.001490884,0.002922752
6,Northern,Afternoon,0.493290421,0.114571711,0.000298549,0.00058515
6,Northern,Evening,0.490947608,0.116589702,0.000368894,0.000723027
6,Northern,Morning,0.496217585,0.112091142,0.000540778,0.001059935
6,Northern,Night Owl,0.469945409,0.118907313,0.001054385,0.002066753
6,Southern,Afternoon,0.516338156,0.101397604,0.000447847,0.000877785
6,Southern,Evening,0.517488652,0.101833233,0.000491518,0.000963385
6,Southern,Morning,0.511850133,0.101056542,0.000729123,0.001429145
6,Southern,Night Owl,0.493347567,0.108971812,0.001491226,0.002923413
7,Northern,Afternoon,0.492139043,0.113747586,0.000296015,0.000580183
7,Northern,Evening,0.490387489,0.116938866,0.000368867,0.000722974
7,Northern,Morning,0.49455487,0.112665918,0.000542812,0.001063922
7,Northern,Night Owl,0.470038314,0.119519852,0.001057408,0.002072678
7,Southern,Afternoon,0.516333159,0.102729061,0.000454242,0.000890319
7,Southern,Evening,0.517831778,0.102862464,0.000493159,0.000966602
7,Southern,Morning,0.511706021,0.10085637,0.000719907,0.001411079
7,Southern,Night Owl,0.491557973,0.110498285,0.001502996,0.002946477
8,Northern,Afternoon,0.491386878,0.112607625,0.000291216,0.000570778
8,Northern,Evening,0.488719316,0.115502242,0.000362406,0.00071031
8,Northern,Morning,0.494159616,0.110280481,0.000527229,0.001033379
8,Northern,Night Owl,0.469578745,0.118754398,0.001050513,0.002059162
8,Southern,Afternoon,0.516270511,0.101272633,0.000440866,0.000864102
8,Southern,Evening,0.51723606,0.100963216,0.000477028,0.000934982
8,Southern,Morning,0.511250145,0.099756766,0.00070121,0.001374428
8,Southern,Night Owl,0.493302753,0.108046711,0.001445902,0.00283453
9,Northern,Afternoon,0.492484093,0.111830201,0.000287603,0.000563696
9,Northern,Evening,0.489567329,0.114900145,0.000358066,0.000701805
9,Northern,Morning,0.494891447,0.111082568,0.0005274,0.001033714
9,Northern,Night Owl,0.468227672,0.117562404,0.001030021,0.002018992
9,Southern,Afternoon,0.514102567,0.100679269,0.000433331,0.000849332
9,Southern,Evening,0.515379616,0.100607569,0.000469264,0.000919764
9,Southern,Morning,0.509259352,0.098839309,0.000683604,0.001339917
9,Southern,Night Owl,0.48841347,0.106613224,0.001412498,0.002769034
10,Northern,Afternoon,0.492031122,0.112302141,0.000287426,0.000563348
10,Northern,Evening,0.489636349,0.115604935,0.000358624,0.000702898
10,Northern,Morning,0.49516052,0.110886864,0.000523063,0.001025212
10,Northern,Night Owl,0.466382349,0.116079192,0.001014847,0.001989248
10,Southern,Afternoon,0.512962253,0.099767083,0.000422571,0.000828242
10,Southern,Evening,0.514657249,0.0985788,0.000451456,0.00088486
10,Southern,Morning,0.509327381,0.097145192,0.000658661,0.001291023
10,Southern,Night Owl,0.490925801,0.10818976,0.001410305,0.002764715
11,Northern,Afternoon,0.492778244,0.111366452,0.000283654,0.000555955
11,Northern,Evening,0.489436579,0.114736884,0.000353512,0.000692879
11,Northern,Morning,0.496480102,0.109232643,0.000513827,0.001007109
11,Northern,Night Owl,0.469061733,0.115360684,0.001000191,0.001960517
