woy,Hemisphere,gender,within_variation,sd,se,ci
0,Northern,F,0.489849931,0.104488457,0.000205993,0.000403742
0,Northern,M,0.490704016,0.104787833,0.000201905,0.000395729
0,Southern,F,0.514089659,0.112659843,0.000522408,0.001023928
0,Southern,M,0.507425709,0.113747611,0.0005095,0.000998627
1,Northern,F,0.491865279,0.10175664,0.000192413,0.000377125
1,Northern,M,0.49477112,0.102324027,0.000188928,0.000370293
1,Southern,F,0.514940974,0.10288001,0.00045092,0.000883808
1,Southern,M,0.509378852,0.105114146,0.000445996,0.000874155
2,Northern,F,0.490065947,0.117970168,0.000319789,0.000626781
2,Northern,M,0.493352052,0.121801874,0.000321982,0.000631078
2,Southern,F,0.517721993,0.103996453,0.000454276,0.000890385
2,Southern,M,0.509344865,0.105593569,0.000447198,0.00087651
3,Northern,F,0.489620623,0.115246718,0.000306705,0.000601135
3,Northern,M,0.493019413,0.119004023,0.000309602,0.000606814
3,Southern,F,0.517175018,0.10251879,0.000441412,0.000865171
3,Southern,M,0.509365733,0.103183998,0.000431215,0.000845185
4,Northern,F,0.48970003,0.114627402,0.000303124,0.000594117
4,Northern,M,0.492998662,0.118652893,0.000306844,0.000601407
4,Southern,F,0.518939351,0.102552492,0.000438756,0.000859964
4,Southern,M,0.51023088,0.103046279,0.000426525,0.000835992
5,Northern,F,0.488938535,0.113996834,0.000298362,0.000584783
5,Northern,M,0.491873892,0.117519466,0.000301246,0.000590436
5,Southern,F,0.518111255,0.10161567,0.000428766,0.000840384
5,Southern,M,0.511114614,0.10174512,0.000415549,0.000814478
6,Northern,F,0.489510087,0.113106022,0.00029366,0.000575568
6,Northern,M,0.492313199,0.116948726,0.000297534,0.000583161
6,Southern,F,0.517922204,0.101531216,0.00042257,0.00082824
6,Southern,M,0.50988392,0.102160971,0.000413617,0.000810691
7,Northern,F,0.488150829,0.113158724,0.000293299,0.00057486
7,Northern,M,0.491706257,0.116574028,0.00029594,0.000580036
7,Southern,F,0.51796298,0.102135419,0.000423769,0.00083059
7,Southern,M,0.509887163,0.10349502,0.000417014,0.000817348
8,Northern,F,0.486992044,0.111158447,0.000286034,0.000560621
8,Northern,M,0.490868705,0.115738433,0.000292467,0.000573228
8,Southern,F,0.517954326,0.100555674,0.000411519,0.00080658
8,Southern,M,0.509434247,0.101862078,0.000403659,0.000791172
9,Northern,F,0.487651208,0.11109145,0.000283945,0.000556526
9,Northern,M,0.491927419,0.114801997,0.000288376,0.000565211
9,Southern,F,0.515256585,0.100414808,0.000405846,0.00079546
9,Southern,M,0.507801473,0.100825437,0.000394467,0.000773155
10,Northern,F,0.487746574,0.111496572,0.000283684,0.000556015
10,Northern,M,0.49137057,0.11513624,0.000287727,0.000563939
10,Southern,F,0.514513179,0.098922477,0.000392843,0.000769974
10,Southern,M,0.507291048,0.099664752,0.000383184,0.000751041
11,Northern,F,0.488542433,0.110572134,0.000279526,0.000547865
11,Northern,M,0.491774347,0.114082297,0.000283872,0.000556383
11,Southern,F,0.515462509,0.098264082,0.000385607,0.000755791
11,Southern,M,0.508716282,0.099208159,0.000375713,0.000736397
12,Northern,F,0.489512425,0.10960612,0.000275348,0.000539676
12,Northern,M,0.491935819,0.1128859,0.000279431,0.000547678
12,Southern,F,0.517102164,0.09742127,0.000378213,0.000741298
12,Southern,M,0.509854364,0.098676623,0.000369996,0.000725191
13,Northern,F,0.489416137,0.106562936,0.000265586,0.000520543
13,Northern,M,0.492399641,0.108293226,0.0002644,0.000518218
